timestamp,user_id,text,location_approx,sentiment,issue_category,likes,shares,comments,engagement_score
2025-05-26 12:50:12.887815,user_61709,Update on healthcare in Pimpri-Chinchwad - things are looking awful now!,Pimpri-Chinchwad,negative,healthcare,170,91,23,421
2025-05-08 17:43:30.317719,user_40649,The healthcare situation in Thane is wonderful. #civic #india,Thane,positive,healthcare,26,14,11,87
2025-05-18 17:31:57.545768,user_47723,Grateful for the housing improvements in Thane. Feels bad!,Thane,negative,housing,40,71,38,296
2025-05-12 22:37:00.886902,user_67344,Update on water shortage in Nagpur - things are looking great now!,Nagpur,positive,water shortage,490,51,3,601
2025-05-22 05:22:33.054228,user_73672,The water shortage situation in Vadodara is average. #civic #india,Vadodara,neutral,water shortage,87,92,39,388
2025-05-21 07:03:38.197155,user_79434,Why is road repair always amazing in Chennai? Need better governance.,Chennai,positive,road repair,415,54,50,673
2025-05-28 09:06:49.217235,user_81681,Update on healthcare in Kanpur - things are looking disappointed now!,Kanpur,negative,healthcare,12,97,20,266
2025-05-19 02:25:49.088567,user_98270,Update on corruption in Kolkata - things are looking angry now!,Kolkata,negative,corruption,58,67,43,321
2025-05-08 22:18:50.346950,user_20508,Grateful for the education improvements in Indore. Feels standard!,Indore,neutral,education,47,82,49,358
2025-05-06 23:18:04.417310,user_91996,Grateful for the power outage improvements in Pune. Feels great!,Pune,positive,power outage,5,58,35,226
2025-05-01 19:38:27.545591,user_26666,Can someone help with monsoon flooding problem in Ghaziabad? It's really average.,Ghaziabad,neutral,monsoon flooding,409,100,31,702
2025-05-26 15:15:02.545145,user_63280,Why is corruption always standard in Ludhiana? Need better governance.,Ludhiana,neutral,corruption,408,64,39,653
2025-05-06 08:24:04.086776,user_48976,The water shortage situation in Patna is okay. #civic #india,Patna,neutral,water shortage,366,71,32,604
2025-05-01 09:31:07.220660,user_38661,Can someone help with water shortage problem in Ahmedabad? It's really good.,Ahmedabad,positive,water shortage,312,0,20,372
2025-05-03 13:52:16.816875,user_13072,Can someone help with pollution problem in Jaipur? It's really okay.,Jaipur,neutral,pollution,226,22,25,345
2025-05-08 09:00:41.970291,user_24510,Grateful for the monsoon flooding improvements in Bhopal. Feels fine!,Bhopal,neutral,monsoon flooding,253,91,50,585
2025-05-23 08:28:59.419682,user_44666,Update on traffic congestion in Thane - things are looking great now!,Thane,positive,traffic congestion,61,44,22,215
2025-05-17 21:22:57.362102,user_75681,Grateful for the corruption improvements in Jaipur. Feels horrible!,Jaipur,negative,corruption,177,87,23,420
2025-05-28 12:05:05.829265,user_49478,Update on street lighting in Ghaziabad - things are looking awful now!,Ghaziabad,negative,street lighting,466,77,26,698
2025-05-22 23:16:49.202255,user_76280,Can someone help with garbage collection problem in Ludhiana? It's really good.,Ludhiana,positive,garbage collection,464,29,22,588
2025-05-07 17:30:21.744543,user_98789,Grateful for the garbage collection improvements in Delhi. Feels normal!,Delhi,neutral,garbage collection,446,24,32,590
2025-05-04 04:07:18.444124,user_43424,The monsoon flooding situation in Jaipur is amazing. #civic #india,Jaipur,positive,monsoon flooding,112,33,1,181
2025-05-09 21:20:26.330599,user_12658,Can someone help with monsoon flooding problem in Delhi? It's really regular.,Delhi,neutral,monsoon flooding,425,7,16,487
2025-05-16 23:47:55.851526,user_48564,Update on water shortage in Agra - things are looking frustrated now!,Agra,negative,water shortage,368,3,18,428
2025-05-01 07:42:18.225879,user_97923,Can someone help with healthcare problem in Hyderabad? It's really horrible.,Hyderabad,negative,healthcare,252,83,7,439
2025-05-26 16:26:22.178251,user_13695,Update on healthcare in Ghaziabad - things are looking good now!,Ghaziabad,positive,healthcare,495,99,14,735
2025-05-10 04:10:09.616234,user_28395,Why is pollution always good in Ghaziabad? Need better governance.,Ghaziabad,positive,pollution,215,55,49,472
2025-05-09 08:32:12.764333,user_48113,Why is public transport always fantastic in Surat? Need better governance.,Surat,positive,public transport,131,77,18,339
2025-05-09 20:44:55.147405,user_77849,The pollution situation in Ahmedabad is awful. #civic #india,Ahmedabad,negative,pollution,240,96,45,567
2025-05-09 18:14:49.480714,user_9034,The garbage collection situation in Kanpur is regular. #civic #india,Kanpur,neutral,garbage collection,338,9,21,419
2025-05-03 18:57:24.780879,user_51292,Update on education in Visakhapatnam - things are looking frustrated now!,Visakhapatnam,negative,education,265,56,35,482
