id,text,timestamp,user_id,location_approx,source_platform,likes,shares,language
post_0000,Feeling hopeful about developments in Hyderabad.,2025-05-26 12:32:32.470758,user_6390,"Hyderabad, Telangana",Facebook,106,71,hi
post_0001,Just observing the situation regarding waste management in Mumbai.,2025-05-04 11:22:32.471662,user_7265,"Mumbai, Maharashtra",Twitter,466,86,en
post_0002,Concerned about the rising theft in our area. #safety,2025-05-22 21:37:32.471695,user_9322,"Hyderabad, Telangana",Instagram,149,52,hi
post_0003,Great initiative by local authorities for health services. #positivechange,2025-05-31 08:17:32.471867,user_7949,"Bangalore, Karnataka",Instagram,385,63,en
post_0004,Attended a meeting about local events in Jaipur today.,2025-05-05 11:28:32.471891,user_5555,"Jaipur, Rajasthan",Twitter,313,21,en
post_0005,Endless wait times at the Collectorate in Delhi. #inefficiency,2025-05-04 20:36:32.471914,user_9666,"Delhi, Delhi",Facebook,58,41,en
post_0006,Just observing the situation regarding waste management in Jaipur.,2025-05-05 16:46:32.471940,user_1189,"Jaipur, Rajasthan",Facebook,445,46,hinglish
post_0007,Just observing the situation regarding crime in Thane.,2025-05-03 13:17:32.471962,user_8734,"Thane, Maharashtra",LocalForum,243,63,en
post_0008,Warning! Unverified news about a local festival spreading in Mumbai.,2025-05-09 05:24:32.471984,user_4890,"Mumbai, Maharashtra",LocalForum,134,20,en
post_0009,Garbage not collected in North Nagpur for a week. #swachhbharat?,2025-05-25 01:43:32.472005,user_9792,"Nagpur, Maharashtra",LocalForum,315,13,hinglish
post_0010,This new policy is a disaster for people in Kolkata.,2025-05-15 23:35:32.472026,user_3612,"Kolkata, West Bengal",Facebook,385,83,en
post_0011,Weather in Mumbai is quite sunny today.,2025-05-05 17:01:32.472047,user_1775,"Mumbai, Maharashtra",Facebook,430,34,en
post_0012,Great initiative by local authorities for environment. #positivechange,2025-05-19 15:25:32.472068,user_2585,"Patna, Bihar",Instagram,359,3,en
post_0013,No water supply in Bhopal for 3 days! #watercrisis @localMLA,2025-06-01 02:07:32.472089,user_4843,"Bhopal, Madhya Pradesh",LocalForum,309,92,en
post_0014,Power outage for hours in Kolkata! This is unacceptable. @ কর্তৃপক্ষ,2025-05-15 20:27:32.472110,user_5297,"Kolkata, West Bengal",Facebook,445,99,hinglish
post_0015,Loving the new park in Delhi! #community #goodgovernance,2025-05-19 16:46:32.472131,user_8629,"Delhi, Delhi",Twitter,214,61,hi
post_0016,Attended a meeting about infrastructure in Delhi today.,2025-05-25 11:45:32.472152,user_8916,"Delhi, Delhi",Facebook,337,52,en
post_0017,Attended a meeting about local events in Ahmedabad today.,2025-05-09 19:20:32.472173,user_6276,"Ahmedabad, Gujarat",Instagram,14,44,en
post_0018,बहुत अच्छा काम हो रहा है Bangalore में। #विकास,2025-06-02 01:52:32.472194,user_6463,"Bangalore, Karnataka",Facebook,128,7,en
post_0019,Attended a meeting about environment in Lucknow today.,2025-05-09 21:10:32.472215,user_7736,"Lucknow, Uttar Pradesh",Facebook,391,34,hinglish
post_0020,Pune market seems busy as usual.,2025-05-31 07:02:32.472237,user_6892,"Pune, Maharashtra",Instagram,489,40,en
post_0021,Just observing the situation regarding traffic in Bhopal.,2025-05-06 01:52:32.472258,user_4104,"Bhopal, Madhya Pradesh",Twitter,47,22,en
post_0022,"The roads in Ward 20, Delhi are in pathetic condition. #badroads",2025-05-03 08:24:32.472280,user_3731,"Delhi, Delhi",Twitter,359,85,en
post_0023,Endless wait times at the Municipal Office in Kanpur. #inefficiency,2025-05-07 06:00:32.472301,user_9110,"Kanpur, Uttar Pradesh",LocalForum,461,2,en
post_0024,Great initiative by local authorities for education. #positivechange,2025-06-02 03:35:32.472322,user_1502,"Ahmedabad, Gujarat",Instagram,254,13,en
post_0025,बहुत अच्छा काम हो रहा है Jaipur में। #विकास,2025-05-26 23:46:32.472343,user_6134,"Jaipur, Rajasthan",Twitter,345,41,hi
post_0026,Terrible traffic jam again in Pune. When will this be fixed? #civicissue,2025-05-05 19:10:32.472365,user_1863,"Pune, Maharashtra",Instagram,230,51,hi
post_0027,Pune में stray animals से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-05 04:31:32.472393,user_8574,"Pune, Maharashtra",Instagram,230,14,en
post_0028,Just observing the situation regarding water shortage in Bhopal.,2025-05-23 04:48:32.472415,user_4157,"Bhopal, Madhya Pradesh",Facebook,283,65,en
post_0029,Heard a rumor that a new lockdown is happening in Ahmedabad. Can anyone confirm? #fakenewsalert,2025-05-23 19:04:32.472437,user_3693,"Ahmedabad, Gujarat",Facebook,283,27,en
post_0030,Great initiative by local authorities for infrastructure. #positivechange,2025-05-21 20:41:32.472458,user_6450,"Bhopal, Madhya Pradesh",LocalForum,127,91,en
post_0031,Garbage not collected in East Ahmedabad for a week. #swachhbharat?,2025-05-09 01:28:32.472479,user_2306,"Ahmedabad, Gujarat",Twitter,445,76,en
post_0032,Power outage for hours in Ahmedabad! This is unacceptable. @ কর্তৃপক্ষ,2025-05-25 05:22:32.472500,user_9901,"Ahmedabad, Gujarat",LocalForum,455,26,hinglish
post_0033,Mumbai में बिजली की कटौती से जनता परेशान। #powercut,2025-05-25 03:28:32.472521,user_1663,"Mumbai, Maharashtra",Instagram,462,58,en
post_0034,Mumbai में noise pollution से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-11 08:20:32.472542,user_4763,"Mumbai, Maharashtra",Facebook,112,61,en
post_0035,Indore में stray animals से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-16 12:49:32.472562,user_4581,"Indore, Madhya Pradesh",Twitter,294,1,hinglish
post_0036,Loving the new park in Nagpur! #community #goodgovernance,2025-05-30 15:24:32.472582,user_4696,"Nagpur, Maharashtra",Twitter,439,80,hi
post_0037,Concerned about the rising theft in our area. #safety,2025-05-06 15:59:32.472608,user_5737,"Pune, Maharashtra",Facebook,219,53,en
post_0038,Feeling hopeful about developments in Ahmedabad.,2025-05-11 03:29:32.472629,user_8392,"Ahmedabad, Gujarat",Instagram,384,18,en
post_0039,No water supply in Thane for 3 days! #watercrisis @localMLA,2025-05-04 06:08:32.472649,user_2707,"Thane, Maharashtra",Instagram,217,31,en
post_0040,No water supply in Ahmedabad for 3 days! #watercrisis @localMLA,2025-05-27 09:57:32.472676,user_4510,"Ahmedabad, Gujarat",Facebook,202,55,en
post_0041,This new policy is a disaster for people in Jaipur.,2025-05-06 15:23:32.472696,user_3327,"Jaipur, Rajasthan",LocalForum,324,97,en
post_0042,Great initiative by local authorities for education. #positivechange,2025-05-27 10:50:32.472716,user_7287,"Mumbai, Maharashtra",LocalForum,96,72,en
post_0043,Great initiative by local authorities for health services. #positivechange,2025-05-06 02:45:32.472738,user_1659,"Jaipur, Rajasthan",Instagram,251,58,en
post_0044,This new policy is a disaster for people in Kolkata.,2025-05-29 13:35:32.472758,user_2986,"Kolkata, West Bengal",LocalForum,146,19,en
post_0045,Loving the new park in Kanpur! #community #goodgovernance,2025-05-26 12:20:32.472779,user_3976,"Kanpur, Uttar Pradesh",Instagram,423,38,en
post_0046,Thank you for addressing the crime issue promptly!,2025-05-16 01:00:32.472800,user_2802,"Ahmedabad, Gujarat",Twitter,475,56,hi
post_0047,Forwarded as received: all schools closing tomorrow in Hyderabad! Is this true?,2025-05-08 14:38:32.472820,user_6534,"Hyderabad, Telangana",LocalForum,477,41,en
post_0048,Power outage for hours in Patna! This is unacceptable. @ কর্তৃপক্ষ,2025-05-31 01:01:32.472842,user_7287,"Patna, Bihar",Facebook,345,59,hi
post_0049,No water supply in Jaipur for 3 days! #watercrisis @localMLA,2025-05-17 07:00:32.472862,user_6423,"Jaipur, Rajasthan",Instagram,253,11,hi
post_0050,This new policy is a disaster for people in Patna.,2025-05-29 03:29:32.472888,user_8158,"Patna, Bihar",Twitter,8,98,hinglish
post_0051,Kolkata में illegal construction से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-14 16:45:32.472908,user_2154,"Kolkata, West Bengal",Twitter,403,23,hinglish
post_0052,Kanpur में theft से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-11 08:28:32.472933,user_2648,"Kanpur, Uttar Pradesh",Twitter,455,35,hi
post_0053,Power outage for hours in Bhopal! This is unacceptable. @ কর্তৃপক্ষ,2025-05-28 00:41:32.472954,user_9445,"Bhopal, Madhya Pradesh",LocalForum,226,88,en
post_0054,Ahmedabad market seems busy as usual.,2025-05-30 14:15:32.472975,user_5433,"Ahmedabad, Gujarat",Instagram,193,53,hi
post_0055,Jaipur में noise pollution से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-30 16:20:32.472996,user_9352,"Jaipur, Rajasthan",Instagram,67,32,hinglish
post_0056,Just observing the situation regarding waste management in Lucknow.,2025-05-19 11:13:32.473017,user_4987,"Lucknow, Uttar Pradesh",Facebook,383,7,hi
post_0057,Endless wait times at the Municipal Office in Ahmedabad. #inefficiency,2025-05-27 05:44:32.473038,user_5735,"Ahmedabad, Gujarat",Instagram,32,47,hinglish
post_0058,Thank you for addressing the pollution issue promptly!,2025-05-21 13:39:32.473058,user_4446,"Bhopal, Madhya Pradesh",LocalForum,21,29,hi
post_0059,Kanpur में बिजली की कटौती से जनता परेशान। #powercut,2025-05-28 02:16:32.473079,user_9754,"Kanpur, Uttar Pradesh",Twitter,437,7,en
post_0060,Heard a rumor that a natural disaster warning is happening in Lucknow. Can anyone confirm? #fakenewsalert,2025-05-07 06:40:32.473100,user_5893,"Lucknow, Uttar Pradesh",Facebook,96,27,en
post_0061,Just observing the situation regarding pollution in Bangalore.,2025-05-19 07:56:32.473135,user_8996,"Bangalore, Karnataka",Twitter,303,18,hinglish
post_0062,Forwarded as received: free money distribution in Bhopal! Is this true?,2025-05-30 05:12:32.473156,user_8679,"Bhopal, Madhya Pradesh",Twitter,16,43,en
